otu	QC0221WK20	QC0221WK21	QC0221WK22	QC0221WK23	QC0221WK24	QC0221WK25	QC0221WK26	QC0221WK27	QC0221WK28	QC0221WK29	QC0221WK30	QC0221WK31	QC0221WK32	QC0221WK33	QC0221WK34	QC0221WK35	QC0221WK36	QC0221WK37	QC0321WK21	QC0321WK22	QC0321WK23	QC0321WK24	QC0321WK25	QC0321WK26	QC0321WK27	QC0321WK28	QC0321WK29	QC0321WK30	QC0321WK31	QC0321WK32	QC0321WK33	QC0321WK34	QC0321WK35	QC0321WK36	QC0321WK37	QC0421WK22	QC0421WK23	QC0421WK24	QC0421WK25	QC0421WK26	QC0421WK27	QC0421WK28	QC0421WK29	QC0421WK30	QC0421WK31	QC0421WK32	QC0421WK33	QC0421WK34	QC0421WK35	QC0421WK36	QC0421WK37	QC0521WK22	QC0521WK23	QC0521WK24	QC0521WK25	QC0521WK26	QC0521WK27	QC0521WK28	QC0521WK29	QC0521WK30	QC0521WK31	QC0521WK32	QC0521WK33	QC0521WK34	QC0521WK35	QC0521WK36	QC0521WK37	QC0621WK22	QC0621WK23	QC0621WK24	QC0621WK25	QC0621WK26	QC0621WK27	QC0621WK28	QC0621WK29	QC0621WK30	QC0621WK31	QC0621WK32	QC0621WK33	QC0621WK34	QC0621WK35	QC0621WK36	QC0621WK37	QC0721WK22	QC0721WK23	QC0721WK24	QC0721WK25	QC0721WK26	QC0721WK27	QC0721WK28	QC0721WK29	QC0721WK30	QC0721WK31	QC0721WK32	QC0721WK33	QC0721WK34	QC0721WK35	QC0721WK36	QC0721WK37	QC0821WK25	QC0821WK26	QC0821WK27	QC0821WK28	QC0821WK29	QC0821WK30	QC0821WK31	QC0821WK32	QC0821WK33	QC0821WK34	QC0821WK35	QC0821WK36	QC0821WK37
f556cceb09c61e1530d00b7d1aed8234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	872.0	8032.0	17780.0	16025.0	13653.0	14856.0	19444.0	14736.0	10780.0	1216.0	0.0	0.0	0.0	0.0	0.0	0.0	2127.0	3183.0	12952.0	18088.0	11338.0	10255.0	7971.0	3156.0	14148.0	2695.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.0	1145.0	2326.0	3108.0	4583.0	12860.0	5720.0	1066.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	1305.0	2714.0	9299.0	9826.0	6933.0	9131.0	12795.0	5091.0	12960.0	1600.0	1851.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	717.0	4924.0	10660.0	12003.0	13122.0	9237.0	5884.0	3706.0	317.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	438.0	0.0	2000.0	2633.0	9771.0	8143.0	118.0	0.0	0.0	0.0	0.0	0.0	45.0	1912.0	158.0	1652.0	4516.0	8244.0	1981.0	1153.0	831.0	0.0
353c06adc7d2edfcfaebf59bbe3ff76e	400.0	0.0	2617.0	0.0	74.0	0.0	0.0	0.0	122.0	0.0	82.0	128.0	0.0	0.0	0.0	609.0	3753.0	25267.0	0.0	1126.0	0.0	0.0	258.0	248.0	567.0	285.0	513.0	106.0	0.0	71.0	0.0	0.0	795.0	10063.0	26619.0	11569.0	2897.0	1251.0	1226.0	1814.0	588.0	414.0	489.0	191.0	118.0	0.0	84.0	66.0	1485.0	3630.0	6802.0	2021.0	0.0	1742.0	156.0	4015.0	2300.0	819.0	0.0	229.0	59.0	0.0	0.0	0.0	85.0	4388.0	11436.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	487.0	8025.0	0.0	0.0	588.0	2321.0	7846.0	1917.0	925.0	178.0	30.0	437.0	113.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	14202.0
9b00bc511c2b9d7b833604813b0b05f2	510.0	1678.0	1870.0	6213.0	5010.0	2812.0	3140.0	2745.0	5393.0	2147.0	824.0	724.0	0.0	0.0	0.0	804.0	670.0	298.0	0.0	1830.0	4855.0	4357.0	3245.0	1977.0	2203.0	725.0	1096.0	0.0	675.0	205.0	0.0	0.0	534.0	1067.0	0.0	2289.0	3312.0	2942.0	1259.0	0.0	0.0	610.0	434.0	0.0	290.0	495.0	0.0	0.0	0.0	0.0	554.0	1284.0	2954.0	1812.0	348.0	1091.0	2135.0	483.0	894.0	938.0	205.0	119.0	0.0	0.0	730.0	751.0	804.0	568.0	2158.0	1835.0	264.0	290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3017.0	2947.0	1383.0	767.0	0.0	284.0	0.0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	480.0	277.0	0.0	0.0	496.0	0.0	818.0	0.0	0.0	0.0	0.0	0.0	0.0
9e1dc7d16af91d5c34643b33f8f13694	0.0	0.0	0.0	0.0	114.0	0.0	0.0	71.0	0.0	325.0	220.0	20.0	0.0	0.0	0.0	447.0	1254.0	159.0	0.0	0.0	379.0	0.0	0.0	257.0	1618.0	1193.0	285.0	132.0	1088.0	159.0	0.0	0.0	0.0	1282.0	511.0	0.0	0.0	0.0	0.0	0.0	1783.0	0.0	0.0	687.0	0.0	0.0	122.0	467.0	0.0	668.0	139.0	95.0	0.0	1518.0	0.0	416.0	1572.0	0.0	121.0	513.0	227.0	0.0	51.0	0.0	1066.0	1048.0	761.0	0.0	0.0	463.0	0.0	0.0	9649.0	5535.0	2123.0	849.0	1730.0	0.0	33.0	0.0	402.0	5154.0	2847.0	0.0	0.0	351.0	181.0	0.0	1120.0	406.0	1048.0	5800.0	2778.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2975.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	8181.0	9260.0	4941.0
d87923a926982434c811a4fc33a7942f	435.0	3938.0	574.0	0.0	0.0	141.0	572.0	0.0	0.0	270.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	3247.0	628.0	915.0	388.0	0.0	700.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	305.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.0	0.0	286.0	576.0	711.0	673.0	345.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.0	1106.0	6203.0	6927.0	6265.0	5814.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	392.0	1114.0	571.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13650.0	6867.0	628.0	1488.0	2865.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9ed6ed511e00f993f42bc338c94d55eb	7513.0	5636.0	1616.0	2387.0	2224.0	1577.0	967.0	5907.0	0.0	800.0	281.0	202.0	3345.0	0.0	0.0	352.0	0.0	0.0	5454.0	8934.0	0.0	2795.0	1430.0	850.0	658.0	0.0	575.0	0.0	317.0	58.0	0.0	0.0	450.0	795.0	0.0	388.0	0.0	392.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	3907.0	0.0	212.0	487.0	0.0	279.0	0.0	433.0	139.0	0.0	0.0	0.0	0.0	274.0	230.0	154.0	805.0	164.0	566.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1675.0	0.0	2288.0	413.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	639.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d11f971c2573dded4a7b813736d54cc3	0.0	0.0	930.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	422.0	2327.0	1410.0	232.0	80.0	449.0	473.0	0.0	0.0	0.0	383.0	144.0	304.0	1829.0	191.0	0.0	0.0	84.0	0.0	0.0	88.0	58.0	73.0	347.0	155.0	428.0	1005.0	416.0	0.0	0.0	148.0	0.0	0.0	335.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2033.0	6074.0	18140.0	930.0	7279.0	0.0	162.0	0.0	0.0	0.0	0.0	0.0	0.0
a62e14ddf957e10799c77e23e1df70e9	0.0	0.0	1098.0	2531.0	2280.0	1304.0	1671.0	1137.0	2385.0	1006.0	0.0	0.0	0.0	0.0	0.0	429.0	0.0	0.0	0.0	0.0	2079.0	2111.0	1428.0	1159.0	1090.0	413.0	521.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1342.0	1485.0	1289.0	691.0	0.0	0.0	308.0	207.0	0.0	0.0	0.0	228.0	0.0	0.0	0.0	0.0	0.0	1337.0	1128.0	0.0	594.0	1082.0	277.0	0.0	570.0	0.0	0.0	0.0	0.0	0.0	0.0	154.0	350.0	1006.0	864.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	302.0	1427.0	1393.0	629.0	433.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0
1d05a08941ce5f54c3ecac0a1d850780	951.0	4696.0	932.0	865.0	578.0	47.0	1773.0	279.0	19.0	94.0	30.0	46.0	0.0	0.0	0.0	0.0	259.0	204.0	1738.0	1896.0	670.0	1072.0	907.0	3906.0	409.0	87.0	40.0	19.0	36.0	0.0	0.0	0.0	43.0	34.0	0.0	1827.0	146.0	854.0	140.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	27.0	188.0	1705.0	1508.0	544.0	0.0	656.0	1058.0	0.0	84.0	0.0	0.0	15.0	0.0	0.0	136.0	134.0	261.0	295.0	0.0	1015.0	29.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	338.0	337.0	1360.0	2146.0	1079.0	170.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	590.0	40.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	12.0	21.0	0.0
da68b84ae7440726f0fa022c707fe95b	0.0	0.0	0.0	0.0	0.0	0.0	1209.0	105.0	0.0	0.0	0.0	141.0	0.0	68.0	0.0	165.0	0.0	157.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	898.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15687.0	14473.0	1080.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3c3ecc78bf1e40196db23d7f292c49db	0.0	0.0	0.0	0.0	0.0	146.0	357.0	584.0	1074.0	2013.0	812.0	661.0	0.0	0.0	104.0	321.0	562.0	140.0	0.0	0.0	0.0	703.0	1932.0	690.0	629.0	447.0	279.0	0.0	0.0	187.0	0.0	0.0	540.0	1070.0	0.0	0.0	0.0	306.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	494.0	748.0	0.0	307.0	480.0	0.0	349.0	252.0	0.0	0.0	149.0	0.0	365.0	696.0	543.0	0.0	145.0	1524.0	0.0	527.0	0.0	0.0	0.0	0.0	212.0	170.0	0.0	59.0	0.0	0.0	102.0	71.0	0.0	0.0	336.0	508.0	0.0	0.0	29.0	0.0	0.0	0.0	321.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	320.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0
ed0c9bcfe684c57ad599dac182375be7	0.0	0.0	0.0	0.0	0.0	0.0	373.0	862.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	365.0	0.0	524.0	0.0	0.0	1170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	887.0	7930.0	156.0	2203.0	896.0	1968.0	528.0	337.0	1440.0	1162.0	471.0	0.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cb58f2ab46277ccb82843013dbc550f2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1187.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	873.0	0.0	2362.0	0.0	712.0	4746.0	0.0	102.0	177.0	414.0	730.0	0.0	0.0	154.0	50.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	388.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1263.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0819251fc23d2a7a389de35d1cf0184a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	307.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	340.0	270.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	266.0	0.0	0.0	0.0	0.0	0.0	0.0	395.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.0	0.0	0.0	0.0	0.0	0.0	0.0	835.0	647.0	426.0	226.0	444.0	0.0	0.0	0.0	0.0	618.0	591.0	0.0	0.0	0.0	0.0	0.0	200.0	0.0	282.0	705.0	513.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	613.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	779.0	863.0	772.0
