OTU	IonT_QC0221WK20	IonT_QC0221WK23	IonT_QC0321WK23	IonT_QC0421WK23	IonT_QC0521WK23	IonT_QC0621WK23	IonT_QC0721WK23	IonT_QC0221WK24	IonT_QC0321WK24	IonT_QC0421WK24	IonT_QC0521WK24	IonT_QC0221WK21	IonT_QC0621WK24	IonT_QC0721WK24	IonT_QC0221WK25	IonT_QC0321WK25	IonT_QC0421WK25	IonT_QC0521WK25	IonT_QC0621WK25	IonT_QC0721WK25	IonT_QC0821WK25	IonT_QC0221WK26	IonT_QC0321WK21	IonT_QC0321WK26	IonT_QC0421WK26	IonT_QC0521WK26	IonT_QC0621WK26	IonT_QC0721WK26	IonT_QC0821WK26	IonT_QC0221WK27	IonT_QC0321WK27	IonT_QC0421WK27	IonT_QC0521WK27	IonT_QC0221WK22	IonT_QC0621WK27	IonT_QC0721WK27	IonT_QC0821WK27	IonT_QC0221WK28	IonT_QC0321WK28	IonT_QC0421WK28	IonT_QC0521WK28	IonT_QC0621WK28	IonT_QC0721WK28	IonT_QC0821WK28	IonT_QC0321WK22	IonT_QC0221WK29	IonT_QC0321WK29	IonT_QC0421WK29	IonT_QC0521WK29	IonT_QC0621WK29	IonT_QC0721WK29	IonT_QC0821WK29	IonT_QC0221WK30	IonT_QC0321WK30	IonT_QC0421WK30	IonT_QC0421WK22	IonT_QC0521WK30	IonT_QC0621WK30	IonT_QC0721WK30	IonT_QC0821WK30	IonT_QC0221WK31	IonT_QC0321WK31	IonT_QC0421WK31	IonT_QC0521WK31	IonT_QC0621WK31	IonT_QC0721WK31	IonT_QC0521WK22	IonT_QC0821WK31	IonT_QC0221WK32	IonT_QC0321WK32	IonT_QC0421WK32	IonT_QC0521WK32	IonT_QC0621WK32	IonT_QC0721WK32	IonT_QC0821WK32	IonT_QC0221WK33	IonT_QC0321WK33	IonT_QC0621WK22	IonT_QC0421WK33	IonT_QC0521WK33	IonT_QC0621WK33	IonT_QC0721WK33	IonT_QC0821WK33	IonT_QC0221WK34	IonT_QC0321WK34	IonT_QC0421WK34	IonT_QC0521WK34	IonT_QC0621WK34	IonT_QC0721WK22	IonT_QC0721WK34	IonT_QC0821WK34	IonT_QC0221WK35	IonT_QC0321WK35	IonT_QC0421WK35
2949b355cd00039476d9a808f2e76b8e	0.0	0.0	48.0	11.0	8.0	0.0	18.0	37.0	18.0	10160.0	0.0	0.0	26.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	5.0	362.0	0.0	0.0	24144.0	13312.0	10346.0	387.0	0.0	0.0	0.0	0.0	0.0	40410.0	0.0	8494.0	14842.0	18731.0	96656.0	0.0	0.0	19.0	0.0	44602.0	0.0	0.0	93949.0	168650.0	85801.0	0.0	0.0	0.0	0.0	54337.0	0.0	91723.0	0.0	91623.0	258720.0	146148.0	0.0	0.0	0.0	0.0	389752.0	0.0	390300.0	164568.0	200140.0	236059.0	0.0	0.0	114011.0	0.0	17.0	185875.0	117163.0	81416.0	178481.0	0.0
9d34744d5f40b8a99cc028bb4908e00b	16.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	43.0	0.0	0.0	0.0	6.0	12.0	34.0	0.0	0.0	10.0	16.0	1259.0	17.0	0.0	25.0	14.0	0.0	0.0	1367.0	2354.0	34.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	2838.0	0.0	20.0	0.0	0.0	0.0	132655.0	0.0	0.0	0.0	0.0	184455.0	0.0	0.0	0.0	0.0	1235.0	0.0	0.0	0.0	0.0	0.0	0.0	6913.0	0.0	0.0	0.0	0.0	332168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	302992.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	323922.0	0.0	0.0	0.0	0.0	0.0	0.0
61c226ba90e400b577fe1d486db3256d	7.0	0.0	0.0	0.0	0.0	0.0	8.0	4203.0	0.0	0.0	10.0	0.0	9400.0	0.0	0.0	0.0	823.0	0.0	0.0	3393.0	0.0	21.0	0.0	0.0	0.0	6572.0	2188.0	1086.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38462.0	0.0	0.0	30166.0	0.0	8871.0	34680.0	0.0	0.0	4.0	3240.0	0.0	0.0	4558.0	0.0	82956.0	2975.0	2913.0	5208.0	40962.0	0.0	7188.0	0.0	0.0	0.0	0.0	0.0	6059.0	0.0	0.0	0.0	0.0	12073.0	0.0	0.0	0.0	778.0	38340.0	0.0	0.0	0.0	0.0	0.0	8956.0	0.0	0.0	0.0	0.0	3.0	3518.0	36790.0	1548.0	0.0	0.0	12.0	52240.0	0.0	2523.0	0.0
af77980eb4e8e0abee3729db262bcdae	3.0	0.0	8.0	0.0	0.0	0.0	6.0	15901.0	0.0	33164.0	6086.0	0.0	28131.0	0.0	14.0	0.0	0.0	0.0	0.0	29014.0	8661.0	80191.0	0.0	0.0	12355.0	0.0	4.0	21717.0	1144.0	3.0	10726.0	1740.0	13832.0	8316.0	30.0	6698.0	0.0	0.0	0.0	0.0	1642.0	0.0	8217.0	0.0	23354.0	3.0	0.0	2062.0	0.0	534.0	0.0	4277.0	0.0	1442.0	0.0	20712.0	238.0	997.0	0.0	2474.0	0.0	0.0	0.0	0.0	2.0	0.0	28905.0	0.0	2.0	0.0	5.0	0.0	0.0	27288.0	737.0	0.0	0.0	4763.0	4.0	2513.0	0.0	140.0	0.0	0.0	183.0	0.0	2401.0	0.0	0.0	0.0	1344.0	0.0	7064.0	3451.0
5f838c2663e51903bc2edc67cf5dde72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5323.0	0.0	0.0	0.0	0.0	0.0	3484.0	0.0	41080.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38922.0	0.0	0.0	0.0	8192.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133306.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131999.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7a77fe76bb62ff1e46fe2906e1906041	0.0	0.0	6.0	0.0	4.0	1712.0	8.0	0.0	0.0	0.0	14402.0	0.0	14132.0	4.0	4.0	0.0	1032.0	0.0	0.0	0.0	0.0	9.0	0.0	16896.0	1450.0	0.0	0.0	0.0	467.0	15516.0	10627.0	0.0	0.0	0.0	0.0	0.0	0.0	22472.0	9798.0	17680.0	10606.0	649.0	0.0	0.0	3.0	23017.0	0.0	0.0	13399.0	0.0	3427.0	7955.0	0.0	2560.0	2609.0	3.0	4423.0	0.0	0.0	3831.0	16693.0	0.0	2284.0	6423.0	2215.0	1042.0	0.0	1441.0	0.0	0.0	6443.0	0.0	8.0	9154.0	500.0	0.0	0.0	0.0	4640.0	0.0	9077.0	0.0	2045.0	1938.0	2219.0	0.0	0.0	9602.0	0.0	375.0	0.0	4503.0	12516.0	0.0
7b3fb79d8a7c200c7b15d79ba9fb1f6b	0.0	33270.0	14.0	8989.0	0.0	0.0	8838.0	0.0	0.0	0.0	8151.0	0.0	0.0	35536.0	0.0	4.0	8778.0	0.0	1457.0	3711.0	515.0	0.0	0.0	3177.0	0.0	0.0	0.0	1235.0	417.0	14944.0	13598.0	0.0	0.0	18836.0	0.0	143.0	0.0	24682.0	7185.0	0.0	0.0	57.0	0.0	0.0	0.0	18545.0	0.0	0.0	0.0	308.0	0.0	1689.0	1761.0	0.0	682.0	17360.0	1273.0	0.0	0.0	0.0	1752.0	3047.0	0.0	0.0	0.0	0.0	0.0	14294.0	0.0	0.0	10234.0	0.0	0.0	0.0	0.0	0.0	0.0	1107.0	0.0	0.0	0.0	603.0	0.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9113.0	0.0	0.0
582d1b304d60b4c074d550f3d08af368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13620.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78804.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37636.0	0.0	0.0	0.0	83383.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20716.0
865d613b55499cf3db6e4477a885676c	0.0	0.0	0.0	4574.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	3171.0	8594.0	0.0	0.0	65150.0	0.0	8369.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27855.0	0.0	389.0	1217.0	4.0	0.0	14.0	0.0	64098.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17044.0	0.0	0.0	8.0	10.0	64.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10974.0
70351fcb4a655bd2db93506501ca7533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30649.0	0.0	0.0	0.0	0.0	0.0	32086.0	0.0	1105.0	0.0	0.0	0.0	0.0	0.0	44524.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	778.0	0.0	0.0	2217.0	0.0	23.0	0.0	147.0	0.0	0.0	0.0	31788.0	0.0	0.0	0.0	0.0	0.0	0.0	1568.0	40837.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2501.0	0.0	0.0	9611.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	336.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
