OTU;plaque_1_its_B1;plaque_1_its_B10;plaque_1_its_B11;plaque_1_its_B12;plaque_1_its_B13;plaque_1_its_B14;plaque_1_its_B15;plaque_1_its_B16;plaque_1_its_B17;plaque_1_its_B18;plaque_1_its_B19;plaque_1_its_B2;plaque_1_its_B20;plaque_1_its_B21;plaque_1_its_B22;plaque_1_its_B23;plaque_1_its_B24;plaque_1_its_B25;plaque_1_its_B26;plaque_1_its_B27;plaque_1_its_B28;plaque_1_its_B29;plaque_1_its_B3;plaque_1_its_B30;plaque_1_its_B31;plaque_1_its_B32;plaque_1_its_B33;plaque_1_its_B34;plaque_1_its_B35;plaque_1_its_B36;plaque_1_its_B37;plaque_1_its_B38;plaque_1_its_B39;plaque_1_its_B4;plaque_1_its_B40;plaque_1_its_B41;plaque_1_its_B42;plaque_1_its_B43;plaque_1_its_B44;plaque_1_its_B45;plaque_1_its_B46;plaque_1_its_B47;plaque_1_its_B48;plaque_1_its_B49;plaque_1_its_B5;plaque_1_its_B50;plaque_1_its_B51;plaque_1_its_B52;plaque_1_its_B53;plaque_1_its_B54;plaque_1_its_B55;plaque_1_its_B56;plaque_1_its_B57;plaque_1_its_B58;plaque_1_its_B59;plaque_1_its_B6;plaque_1_its_B60;plaque_1_its_B61;plaque_1_its_B62;plaque_1_its_B63;plaque_1_its_B64;plaque_1_its_B65;plaque_1_its_B66;plaque_1_its_B67;plaque_1_its_B68;plaque_1_its_B69;plaque_1_its_B7;plaque_1_its_B70;plaque_1_its_B71;plaque_1_its_B72;plaque_1_its_B73;plaque_1_its_B74;plaque_1_its_B75;plaque_1_its_B76;plaque_1_its_B77;plaque_1_its_B78;plaque_1_its_B79;plaque_1_its_B8;plaque_1_its_B80;plaque_1_its_B81;plaque_1_its_B82;plaque_1_its_B83;plaque_1_its_B84;plaque_1_its_B85;plaque_1_its_B86;plaque_1_its_B87;plaque_1_its_B88;plaque_1_its_B89;plaque_1_its_B9;plaque_1_its_B90;plaque_1_its_B91;plaque_1_its_B92;plaque_1_its_B93;plaque_1_its_B94
MW633475.1;3394;4832;14977;1582;1904;2373;2433;10402;27556;8325;17314;6352;7729;5904;6700;9271;9685;11598;6893;2876;8476;10405;3339;14389;8664;9137;3749;5902;6900;4967;9921;9331;3977;9629;2936;8499;5662;6512;10112;7589;5943;3554;16654;7411;30299;11150;3929;7845;1747;2239;6181;8357;3629;5810;4550;10187;3368;4447;7836;3368;3897;7971;3130;2765;2987;1982;8684;2409;1429;4974;1393;2113;2965;3068;1884;5521;3511;9011;785;481;368;3646;1153;4671;4345;1059;3776;1459;5402;774;4384;2557;6024;3135
AF347031.1;2367;716;3042;908;1236;5876;2119;3083;4866;1889;7777;3528;6834;4768;5168;6640;2316;10400;5470;2546;4617;2112;475;16150;4407;17749;13535;6235;7967;4560;9566;10395;11119;4578;15536;10005;5665;7125;6447;12081;10706;9438;11076;4771;992;4809;5578;7055;16495;23693;19979;18483;10614;8173;6983;3902;5352;11340;7284;8737;6699;14744;1994;3850;6226;2578;4310;4156;2668;10301;1623;6514;7639;2995;12838;8811;5049;8982;2798;6987;6866;10631;17376;2594;7334;218;12737;2698;2894;685;9071;2971;5666;3060
MZ159329.1;8;0;0;0;0;0;8;0;1;1;1;28;0;4;6;0;0;0;1;0;0;0;0;4;12;1;0;1;1;6;1;3;0;0;1;1;0;7;0;1;1;0;1;2;0;4;7;3;2;0;3;7;1;2;2;0;1;1;7;10;0;6;44;4;0;7;0;37;0;0;7;2;0;43;2;1;5;0;2;0;0;1;10;12;0;8;2;27;1;22;16;15;3;24
MH855943.1;3759;481;4916;711;1112;1561;1493;5287;1711;4138;1910;3257;1724;1320;6503;3132;4809;3333;1240;1287;8144;2034;682;3216;3162;4411;1408;1865;6374;6075;2041;4919;3046;5849;4104;1575;2094;11193;2395;2902;6578;1768;878;1540;871;3807;800;1440;3589;1358;1181;2860;8362;5379;999;1594;3317;3903;2226;2067;7002;4506;539;3496;2242;1106;726;2652;8931;4503;970;2814;3219;1174;1349;11143;3477;1002;679;2199;2638;3792;1389;3346;2653;117;2849;851;787;113;1212;5575;3883;903
KU850565.1;19;12;68;49;50;385;34;53;57;73;544;25;886;211;33;77;58;323;208;50;77;70;39;107;212;1033;319;476;159;48;64;1261;210;146;556;188;124;104;95;362;161;293;151;88;36;69;60;1559;467;1089;434;309;125;380;7439;196;865;1172;368;258;67;298;4078;1664;570;315;220;310;27;390;9084;2754;2144;341;1155;762;3166;257;21283;7261;5392;3014;2602;66;415;695;3024;134;19;99;938;454;420;3087
MW709918.1;112;1;1;2;0;5;0;8;5;11;19;25;16;16;160;13;34;44;13;11;17;24;4;15;20;251;18;5;14;131;7;73;23;5;107;9;32;192;13;25;20;52;4;34;6;259;74;78;106;131;465;371;47;85;53;109;68;276;132;328;78;128;256;178;338;79;5;107;271;99;120;163;51;81;45;280;306;20;321;202;160;85;173;638;26;337;145;47;20;5;91;49;172;206
MF924721.1;0;0;1;0;0;0;0;0;0;0;6;1;1;11;0;0;8;1;0;0;0;0;0;0;0;0;1;0;3;8;0;0;0;0;2;0;4;5;0;0;0;0;0;3;0;1;0;3;1;1;0;4;0;2;2;16;2;4;1;1;0;0;0;0;2;9;2;7;0;0;0;20;0;1;0;4;0;1;0;0;0;2;0;1;1;1;0;0;0;0;7;5;4;9
MG828953.1;458;92;187;29;10;66;14;42;141;20;15;151;10;23;268;319;84;89;24;37;320;39;31;348;303;72;29;25;360;93;539;287;25;62;84;47;515;263;599;243;83;208;138;457;15;138;1153;149;285;90;105;321;308;3777;256;43;137;151;232;357;1284;2452;85;224;272;213;12;388;218;7994;226;401;339;213;555;999;3213;13;276;98;292;1272;645;1334;12140;507;2391;522;11;107;975;831;2894;324
MT310617.1;2;6;0;3;20;6;8;7;0;14;0;3;2;0;4;8;36;36;4;3;3;1;0;3;91;9;1;1;5;6;4;43;2;0;3;3;6;3;1;52;3;0;12;5;2;4;6;39;9;3;2;4;3;6;46;19;9;3;7;1;4;23;12;21;0;1;8;11;0;3;32;10;1;7;3;4;1;4;15;4;2;14;2;11;17;261;83;2;24;70;34;13;7;46
JN383490.1;0;0;1;3;1;1;0;0;0;0;5;1;6;1;0;0;2;3;3;1;0;4;0;0;1;3;4;3;0;0;0;2;1;0;0;1;4;2;0;11;0;0;2;1;0;2;0;13;0;4;4;3;2;2;13;0;3;5;1;2;1;0;5;4;3;1;5;0;0;0;3;16;5;1;2;1;2;3;13;14;26;6;8;2;2;1;8;7;0;2;4;2;3;9
