#SampleID	InputFileName	Samplename	seq_tech	SiteID	Region	Year	Week	X_coord	Y_coord
IonT_QC0221WK20	B1_9_L001_R1_001.fastq.gz	QC02_21_WK20	IonTorrent	QC02	Frelighsburg	2021	WK20	45.05353	-72.8625
IonT_QC0221WK21	B2_9_L001_R1_001.fastq.gz	QC02_21_WK21	IonTorrent	QC02	Frelighsburg	2021	WK21	45.05353	-72.8625
IonT_QC0221WK22	B4_9_L001_R1_001.fastq.gz	QC02_21_WK22	IonTorrent	QC02	Frelighsburg	2021	WK22	45.05353	-72.8625
IonT_QC0221WK23	B10_9_L001_R1_001.fastq.gz	QC02_21_WK23	IonTorrent	QC02	Frelighsburg	2021	WK23	45.05353	-72.8625
IonT_QC0221WK24	B16_9_L001_R1_001.fastq.gz	QC02_21_WK24	IonTorrent	QC02	Frelighsburg	2021	WK24	45.05353	-72.8625
IonT_QC0221WK25	B22_9_L001_R1_001.fastq.gz	QC02_21_WK25	IonTorrent	QC02	Frelighsburg	2021	WK25	45.05353	-72.8625
IonT_QC0221WK26	B29_9_L001_R1_001.fastq.gz	QC02_21_WK26	IonTorrent	QC02	Frelighsburg	2021	WK26	45.05353	-72.8625
IonT_QC0221WK27	B36_9_L001_R1_001.fastq.gz	QC02_21_WK27	IonTorrent	QC02	Frelighsburg	2021	WK27	45.05353	-72.8625
IonT_QC0221WK28	B43_9_L001_R1_001.fastq.gz	QC02_21_WK28	IonTorrent	QC02	Frelighsburg	2021	WK28	45.05353	-72.8625
IonT_QC0221WK29	B50_9_L001_R1_001.fastq.gz	QC02_21_WK29	IonTorrent	QC02	Frelighsburg	2021	WK29	45.05353	-72.8625
IonT_QC0221WK30	B57_9_L001_R1_001.fastq.gz	QC02_21_WK30	IonTorrent	QC02	Frelighsburg	2021	WK30	45.05353	-72.8625
IonT_QC0221WK31	B64_9_L001_R1_001.fastq.gz	QC02_21_WK31	IonTorrent	QC02	Frelighsburg	2021	WK31	45.05353	-72.8625
IonT_QC0221WK32	B71_9_L001_R1_001.fastq.gz	QC02_21_WK32	IonTorrent	QC02	Frelighsburg	2021	WK32	45.05353	-72.8625
IonT_QC0221WK33	B78_9_L001_R1_001.fastq.gz	QC02_21_WK33	IonTorrent	QC02	Frelighsburg	2021	WK33	45.05353	-72.8625
IonT_QC0221WK34	B85_9_L001_R1_001.fastq.gz	QC02_21_WK34	IonTorrent	QC02	Frelighsburg	2021	WK34	45.05353	-72.8625
IonT_QC0221WK35	B92_9_L001_R1_001.fastq.gz	QC02_21_WK35	IonTorrent	QC02	Frelighsburg	2021	WK35	45.05353	-72.8625
IonT_QC0321WK21	B3_9_L001_R1_001.fastq.gz	QC03_21_WK21	IonTorrent	QC03	Ste-Clotilde	2021	WK21	45.16683	-73.6783
IonT_QC0321WK22	B5_9_L001_R1_001.fastq.gz	QC03_21_WK22	IonTorrent	QC03	Ste-Clotilde	2021	WK22	45.16683	-73.6783
IonT_QC0321WK23	B11_9_L001_R1_001.fastq.gz	QC03_21_WK23	IonTorrent	QC03	Ste-Clotilde	2021	WK23	45.16683	-73.6783
IonT_QC0321WK24	B17_9_L001_R1_001.fastq.gz	QC03_21_WK24	IonTorrent	QC03	Ste-Clotilde	2021	WK24	45.16683	-73.6783
IonT_QC0321WK25	B23_9_L001_R1_001.fastq.gz	QC03_21_WK25	IonTorrent	QC03	Ste-Clotilde	2021	WK25	45.16683	-73.6783
IonT_QC0321WK26	B30_9_L001_R1_001.fastq.gz	QC03_21_WK26	IonTorrent	QC03	Ste-Clotilde	2021	WK26	45.16683	-73.6783
IonT_QC0321WK27	B37_9_L001_R1_001.fastq.gz	QC03_21_WK27	IonTorrent	QC03	Ste-Clotilde	2021	WK27	45.16683	-73.6783
IonT_QC0321WK28	B44_9_L001_R1_001.fastq.gz	QC03_21_WK28	IonTorrent	QC03	Ste-Clotilde	2021	WK28	45.16683	-73.6783
IonT_QC0321WK29	B51_9_L001_R1_001.fastq.gz	QC03_21_WK29	IonTorrent	QC03	Ste-Clotilde	2021	WK29	45.16683	-73.6783
IonT_QC0321WK30	B58_9_L001_R1_001.fastq.gz	QC03_21_WK30	IonTorrent	QC03	Ste-Clotilde	2021	WK30	45.16683	-73.6783
IonT_QC0321WK31	B65_9_L001_R1_001.fastq.gz	QC03_21_WK31	IonTorrent	QC03	Ste-Clotilde	2021	WK31	45.16683	-73.6783
IonT_QC0321WK32	B72_9_L001_R1_001.fastq.gz	QC03_21_WK32	IonTorrent	QC03	Ste-Clotilde	2021	WK32	45.16683	-73.6783
IonT_QC0321WK33	B79_9_L001_R1_001.fastq.gz	QC03_21_WK33	IonTorrent	QC03	Ste-Clotilde	2021	WK33	45.16683	-73.6783
IonT_QC0321WK34	B86_9_L001_R1_001.fastq.gz	QC03_21_WK34	IonTorrent	QC03	Ste-Clotilde	2021	WK34	45.16683	-73.6783
IonT_QC0321WK35	B93_9_L001_R1_001.fastq.gz	QC03_21_WK35	IonTorrent	QC03	Ste-Clotilde	2021	WK35	45.16683	-73.6783
IonT_QC0421WK22	B6_9_L001_R1_001.fastq.gz	QC04_21_WK22	IonTorrent	QC04	Napierville	2021	WK22	45.18664	-73.3426
IonT_QC0421WK23	B12_9_L001_R1_001.fastq.gz	QC04_21_WK23	IonTorrent	QC04	Napierville	2021	WK23	45.18664	-73.3426
IonT_QC0421WK24	B18_9_L001_R1_001.fastq.gz	QC04_21_WK24	IonTorrent	QC04	Napierville	2021	WK24	45.18664	-73.3426
IonT_QC0421WK25	B24_9_L001_R1_001.fastq.gz	QC04_21_WK25	IonTorrent	QC04	Napierville	2021	WK25	45.18664	-73.3426
IonT_QC0421WK26	B31_9_L001_R1_001.fastq.gz	QC04_21_WK26	IonTorrent	QC04	Napierville	2021	WK26	45.18664	-73.3426
IonT_QC0421WK27	B38_9_L001_R1_001.fastq.gz	QC04_21_WK27	IonTorrent	QC04	Napierville	2021	WK27	45.18664	-73.3426
IonT_QC0421WK28	B45_9_L001_R1_001.fastq.gz	QC04_21_WK28	IonTorrent	QC04	Napierville	2021	WK28	45.18664	-73.3426
IonT_QC0421WK29	B52_9_L001_R1_001.fastq.gz	QC04_21_WK29	IonTorrent	QC04	Napierville	2021	WK29	45.18664	-73.3426
IonT_QC0421WK30	B59_9_L001_R1_001.fastq.gz	QC04_21_WK30	IonTorrent	QC04	Napierville	2021	WK30	45.18664	-73.3426
IonT_QC0421WK31	B66_9_L001_R1_001.fastq.gz	QC04_21_WK31	IonTorrent	QC04	Napierville	2021	WK31	45.18664	-73.3426
IonT_QC0421WK32	B73_9_L001_R1_001.fastq.gz	QC04_21_WK32	IonTorrent	QC04	Napierville	2021	WK32	45.18664	-73.3426
IonT_QC0421WK33	B80_9_L001_R1_001.fastq.gz	QC04_21_WK33	IonTorrent	QC04	Napierville	2021	WK33	45.18664	-73.3426
IonT_QC0421WK34	B87_9_L001_R1_001.fastq.gz	QC04_21_WK34	IonTorrent	QC04	Napierville	2021	WK34	45.18664	-73.3426
