no;Sample_ID;ID;run_name;barcode;year;month;Week;DATE ;JD;2021-01-01;Temp ;RH;Pluv;Vent_v;vent_D;
22;strip_1_3_its_B22;B. cinerea;Strip_1-3;22;;;;;;2022-01-01;;;;;;
21;strip_1_3_its_B21;B. pseudocinerea;Strip_1-3;21;;;20;2021-06-01;151;;16,9;69,79166667;0;8,995833333;149,1666667;EXEMPLE
1;strip_1_3_its_B1;QC02_21_WK20;Strip_1-3;1;2021;May;20;2021-05-12;131;;;;;;;
2;strip_1_3_its_B2;QC02_21_WK21;Strip_1-3;2;2021;May;21;2021-05-19;138;;;;;;;
4;strip_1_3_its_B4;QC02_21_WK22;Strip_1-3;4;2021;May;22;2021-05-26;145;;;;;;;
10;strip_1_3_its_B10;QC02_21_WK23;Strip_1-3;10;2021;June;23;2021-06-02;152;;;;;;;
17;strip_1_3_its_B17;QC02_21_WK24;Strip_1-3;17;2021;June;24;2021-06-09;159;;;;;;;
27;plaque_1_its_B5;QC02_21_WK25;Plaque_1;5;2021;June;25;2021-06-16;166;;;;;;;
34;plaque_1_its_B12;QC02_21_WK26;Plaque_1;12;2021;June;26;2021-06-23;173;;;;;;;
41;plaque_1_its_B19;QC02_21_WK27;Plaque_1;19;2021;July;27;2021-06-30;180;;;;;;;
48;plaque_1_its_B26;QC02_21_WK28;Plaque_1;26;2021;July;28;2021-07-07;187;;;;;;;
55;plaque_1_its_B33;QC02_21_WK29;Plaque_1;33;2021;July;29;2021-07-14;194;;;;;;;
62;plaque_1_its_B40;QC02_21_WK30;Plaque_1;40;2021;July;30;2021-07-21;201;;;;;;;
69;plaque_1_its_B47;QC02_21_WK31;Plaque_1;47;2021;July;31;2021-07-28;208;;;;;;;
76;plaque_1_its_B54;QC02_21_WK32;Plaque_1;54;2021;August;32;2021-08-04;215;;;;;;;
83;plaque_1_its_B61;QC02_21_WK33;Plaque_1;61;2021;August;33;2021-08-11;222;;;;;;;
90;plaque_1_its_B68;QC02_21_WK34;Plaque_1;68;2021;August;34;2021-08-18;229;;;;;;;
97;plaque_1_its_B75;QC02_21_WK35;Plaque_1;75;2021;August;35;2021-08-25;236;;;;;;;
104;plaque_1_its_B82;QC02_21_WK36;Plaque_1;82;2021;September;36;2021-09-01;243;;;;;;;
119;plaque_2_its_B1;QC02_22_Wk22;Plaque_2;1;2022;May;22;2022-05-25;144;;16,80357143;65,8452381;59,8;7,017261905;208,6666667;
120;plaque_2_its_B2;QC02_22_Wk23;Plaque_2;2;2022;June;23;2022-06-01;151;;15,72857143;69,85714286;9,1;6,716071429;190,6428571;
121;plaque_2_its_B3;QC02_22_Wk27;Plaque_2;3;2022;July;27;2022-06-29;179;;18,85595238;67,20833333;9,6;5,910119048;226,4761905;
122;plaque_2_its_B4;QC02_22_Wk30;Plaque_2;4;2022;July;30;2022-07-20;200;;23,6327381;72,89345238;24,9;7,016666667;210,9345238;
165;plaque_2_its_B47;QC02_22_Wk31;Plaque_2;47;2022;August;31;2022-07-27;207;;20,3577381;73,53333333;13,3;5,571428571;208,7797619;
166;plaque_2_its_B48;QC02_22_Wk33;Plaque_2;48;2022;August;33;2022-08-10;221;;17,31097561;76,21369048;8,9;5,113690476;238,4404762;
3;strip_1_3_its_B3;QC03_21_WK21;Strip_1-3;3;2021;May;21;2021-05-19;138;;;;;;;
5;strip_1_3_its_B5;QC03_21_WK22;Strip_1-3;5;2021;May;22;2021-05-26;145;;;;;;;
11;strip_1_3_its_B11;QC03_21_WK23;Strip_1-3;11;2021;June;23;2021-06-02;152;;;;;;;
18;strip_1_3_its_B18;QC03_21_WK24;Strip_1-3;18;2021;June;24;2021-06-09;159;;;;;;;
28;plaque_1_its_B6;QC03_21_WK25;Plaque_1;6;2021;June;25;2021-06-16;166;;;;;;;
35;plaque_1_its_B13;QC03_21_WK26;Plaque_1;13;2021;June;26;2021-06-23;173;;;;;;;
42;plaque_1_its_B20;QC03_21_WK27;Plaque_1;20;2021;July;27;2021-06-30;180;;;;;;;
49;plaque_1_its_B27;QC03_21_WK28;Plaque_1;27;2021;July;28;2021-07-07;187;;;;;;;
56;plaque_1_its_B34;QC03_21_WK29;Plaque_1;34;2021;July;29;2021-07-14;194;;;;;;;
63;plaque_1_its_B41;QC03_21_WK30;Plaque_1;41;2021;July;30;2021-07-21;201;;;;;;;
70;plaque_1_its_B48;QC03_21_WK31;Plaque_1;48;2021;July;31;2021-07-28;208;;;;;;;
77;plaque_1_its_B55;QC03_21_WK32;Plaque_1;55;2021;August;32;2021-08-04;215;;;;;;;
84;plaque_1_its_B62;QC03_21_WK33;Plaque_1;62;2021;August;33;2021-08-11;222;;;;;;;
91;plaque_1_its_B69;QC03_21_WK34;Plaque_1;69;2021;August;34;2021-08-18;229;;;;;;;
98;plaque_1_its_B76;QC03_21_WK35;Plaque_1;76;2021;August;35;2021-08-25;236;;;;;;;
105;plaque_1_its_B83;QC03_21_WK36;Plaque_1;83;2021;September;36;2021-09-01;243;;;;;;;
111;plaque_1_its_B89;QC03_21_WK37;Plaque_1;89;2021;September;37;2021-09-08;250;;;;;;;
123;plaque_2_its_B5;QC03_22_Wk23;Plaque_2;5;2022;June;23;2022-06-01;151;;15,8625;63,84722222;0;7,616666667;151,2638889;
124;plaque_2_its_B6;QC03_22_Wk24;Plaque_2;6;2022;June;24;2022-06-09;159;;17,55833333;75,41666667;55,5;8,118452381;216,75;
125;plaque_2_its_B7;QC03_22_Wk26;Plaque_2;7;2022;June;26;2022-06-22;173;;19,80238095;77,66309524;52,2;8,251190476;153,8869048;
126;plaque_2_its_B8;QC03_22_Wk27;Plaque_2;8;2022;July;27;2022-06-29;179;;19,86130952;65,41666667;0,2;7,460119048;191,2142857;
127;plaque_2_its_B9;QC03_22_Wk28;Plaque_2;9;2022;July;28;2022-07-06;187;;19,00714286;65,89166667;1,8;6,429166667;224,4880952;
128;plaque_2_its_B10;QC03_22_Wk29;Plaque_2;10;2022;July;29;2022-13-07;195;;20,60952381;73,42857143;38,5;6,133333333;229,6845238;
129;plaque_2_its_B11;QC03_22_Wk30;Plaque_2;11;2022;July;30;2022-07-20;200;;24,7875;69,73214286;11,9;8,661309524;230,2142857;
167;plaque_2_its_B49;QC03_22_Wk33;Plaque_2;49;2022;August;33;2022-08-10;221;;17,42261905;78,17440476;20,9;4,360119048;223,8869048;
168;plaque_2_its_B50;QC03_22_Wk34;Plaque_2;50;2022;August;34;2022-08-18;229;;20,80952381;76,41666667;16,4;4,766071429;134,547619;
169;plaque_2_its_B51;QC03_22_Wk35;Plaque_2;51;2022;August;35;2022-08-25;236;;19,7875;83,31547619;26,7;4,876190476;152,6785714;
170;plaque_2_its_B52;QC03_22_Wk36;Plaque_2;52;2022;September;36;2022-09-01;243;;17,05952381;81,51190476;33,3;6,233928571;161,4464286;
6;strip_1_3_its_B6;QC04_21_WK22;Strip_1-3;6;2021;May;22;2021-05-26;145;;14,91808511;72,67021277;0,6;0,989361702;201,2978723;
13;strip_1_3_its_B13;QC04_21_WK23;Strip_1-3;13;2021;June;23;2021-06-02;152;;23,27440476;65,91309524;6,6;1,705357143;192,3988095;
23;plaque_1_its_B1;QC04_21_WK24;Plaque_1;1;2021;June;24;2021-06-09;159;;19,87577381;59,32797619;17,2;0,824404762;178,6190476;
29;plaque_1_its_B7;QC04_21_WK25;Plaque_1;7;2021;June;25;2021-06-16;166;;19,17720238;68,08214286;34,6;1,556547619;216,8154762;
36;plaque_1_its_B14;QC04_21_WK26;Plaque_1;14;2021;June;26;2021-06-23;173;;22,51142857;68,27083333;12,6;1,717261905;191,4047619;
43;plaque_1_its_B21;QC04_21_WK27;Plaque_1;21;2021;July;27;2021-06-30;180;;19,58422619;82,08988095;10,4;0,702380952;127,1190476;
50;plaque_1_its_B28;QC04_21_WK28;Plaque_1;28;2021;July;28;2021-07-07;187;;18,9410119;82,49642857;21,4;0,595238095;161,6547619;
57;plaque_1_its_B35;QC04_21_WK29;Plaque_1;35;2021;July;29;2021-07-14;194;;22,07928571;82,78214286;34,6;0,854166667;184,7797619;
64;plaque_1_its_B42;QC04_21_WK30;Plaque_1;42;2021;July;30;2021-07-21;201;;20,05934524;79,28571429;15,2;0,910714286;214,7380952;
71;plaque_1_its_B49;QC04_21_WK31;Plaque_1;49;2021;July;31;2021-07-28;208;;18,01267857;75,53035714;7,4;1,05952381;210,172619;
