otu	Kingdom	Phylum	Class	Order	Family	Genus	Species
f556cceb09c61e1530d00b7d1aed8234	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_manshurica
353c06adc7d2edfcfaebf59bbe3ff76e	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_destructor
9b00bc511c2b9d7b833604813b0b05f2	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_variabilis
9e1dc7d16af91d5c34643b33f8f13694	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Bremia	s__Bremia_elliptica
d87923a926982434c811a4fc33a7942f	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Albuginales	f__Albuginaceae	g__Albugo	s__Albugo_candida
9ed6ed511e00f993f42bc338c94d55eb	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_aparines
d11f971c2573dded4a7b813736d54cc3	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__unknown
a62e14ddf957e10799c77e23e1df70e9	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_variabilis
1d05a08941ce5f54c3ecac0a1d850780	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_nesliae
da68b84ae7440726f0fa022c707fe95b	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_brassicae
3c3ecc78bf1e40196db23d7f292c49db	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Plasmopara	s__Plasmopara_euphrasiae
ed0c9bcfe684c57ad599dac182375be7	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__unknown
cb58f2ab46277ccb82843013dbc550f2	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_camelinae
0819251fc23d2a7a389de35d1cf0184a	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Bremia	s__Bremia_elliptica
802365cdb30c5055ad29d5468e2989dc	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Bremia	s__Bremia_elliptica
fdb2cab06253f1e2b1909356370778e0	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_camelinae
06a6f9d5932363c7e6115dc64fbf994b	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_variabilis
cb6da00040cff376b029c5904b6120ee	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__unknown	f__unknown	g__unknown	s__unknown
a92c7a639f70870a2e01cc39ce7a0c90	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_variabilis
