otu	Kingdom	Phylum	Class	Order	Family	Genus	Species
2949b355cd00039476d9a808f2e76b8e	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_manshurica
9d34744d5f40b8a99cc028bb4908e00b	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_manshurica
61c226ba90e400b577fe1d486db3256d	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Bremia	s__Bremia_elliptica
af77980eb4e8e0abee3729db262bcdae	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_nesliae
5f838c2663e51903bc2edc67cf5dde72	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_manshurica
7a77fe76bb62ff1e46fe2906e1906041	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Plasmopara	s__Plasmopara_viticola
7b3fb79d8a7c200c7b15d79ba9fb1f6b	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_variabilis
582d1b304d60b4c074d550f3d08af368	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_manshurica
865d613b55499cf3db6e4477a885676c	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_boni-henrici
70351fcb4a655bd2db93506501ca7533	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	
04d338fcaa49ecc14f8b123d797d8854	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Phytophthora	s__Phytophthora_nemorosa
78314b05588c6c0c621ba0f54e297d6f	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_camelinae
cd52d2ffd0c26bd619e1b931e71574a2	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Phytophthora	
24c0e10bc63b1d6cd8d90127f582a7ae	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Bremia	s__Bremia_elliptica
4fbb444ff5f194d0a16645d1dde21373	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Bremia	s__Bremia_elliptica
0d3a7f0973d1899d5e85f5c8779d1358	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_manshurica
f3a8f3e5f46e194fa5ced15a1c235c6a	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_boni-henrici
e4f0fdb96f686e057c025e112a670ea3	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_destructor
52043ba0430b969e0e079b4813bfd3dc	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	
9e95dd47e72fb3391daf6f698e49a7a5	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Pythiales	f__Pythiaceae	g__Globisporangium	s__Globisporangium_attrantheridium
2ebedda5ac9153419142e0b740467595	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_camelinae
ebd698802f1f54ceeb8ddb675725a821	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Albuginales	f__Albuginaceae	g__Albugo	s__Albugo_candida
b46c274feb65ccea0dba866dd0837594	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_variabilis
f202d51ecf7b36cbb36efb002f300ad2	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	
8dcaa73375098d267ba8584a96ea8eab	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_manshurica
f931fd88d4e3cd14c59b0cc7cf049ac7	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_nesliae
b4c53b502c58705552187c2e9719d95f	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_nesliae
feb755af9257ed05fc8ad6508b2812c8	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	
e51c5604f90d10c088eb5a63617fc176	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Plasmopara	s__Plasmopara_viticola
266be3f2a59d8f37346511b2537424f0	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_destructor
155093a5702333730c9fb2681cb2e223	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	
366f3468d78de2689a63fc06bbcbaac4	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_manshurica
21c8ced7206f26c06d6b7df3e24af091	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	
892116fd5ecd3962f7a3e0374cb29b58	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Bremia	s__Bremia_elliptica
df6e09f49ef9b529e68b4d3466445007	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_boni-henrici
b887e6ed509060e1ffade1dd3de0b93a	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Pythiales	f__Pythiaceae	g__Globisporangium	s__Globisporangium_attrantheridium
e3b65b14394c43881dc61c8b91f1ec11	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Albuginales	f__Albuginaceae	g__Albugo	s__Albugo_candida
131b87fc0d1ebb918eaaa1b9080296b3	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_destructor
4ab429b49cd1d3613cb5bfd8ff98e80e	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	
73f2261bc2cc460cdc0ea6c1fb49b589	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_variabilis
01d4f07eae81c00dfbbfd0cdefcf9018	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Bremia	s__Bremia_elliptica
91d5a9982062dc971079d49bdf5bb1aa	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_variabilis
825eb1d40f98658a5861516e6aebe477	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_variabilis
aa3749643f08501b05286cf65e654afc	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Albuginales	f__Albuginaceae	g__Albugo	s__Albugo_candida
f36ddd711851f8fb85bd27c06bc72ecb	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_variabilis
b450abe238db48d243ddcd91fa037ff5	k__Eukaryota	p__Oomycota	c__Stramenopiles	o__Peronosporales	f__Peronosporaceae	g__Bremia	s__Bremia_elliptica
