otu,Domain,Phylum,Class,Order,Family,Genus,Species
MW633475.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Cladosporiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_herbarum
AF347031.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_alternata
MZ159329.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Corticiales,f__Corticiaceae,g__Phlebiella,s__Phlebiella_vaga
MH855943.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Epicoccum,s__Epicoccum_nigrum
JX089579.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__Bipolaris_microstegii
JN906978.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Cladosporiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_aphidis
KU850565.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Stemphylium,s__Stemphylium_vesicarium
MW709918.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Bulleraceae,g__Bullera,s__Bullera_alba
MF924721.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Incrustoporiaceae,g__Skeletocutis,s__Skeletocutis_mopanshanensis
MG828953.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymosphaeriaceae,g__Pseudopithomyces,s__Pseudopithomyces_rosae
MT310617.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Periconiaceae,g__Periconia,s__Periconia_verrucosa
JN383490.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_eureka
KY244090.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Gelatoporiaceae,g__Obba,s__Obba_thailandica
MG231543.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Irpicaceae,g__Gloeoporus,s__Gloeoporus_dichrous
KU850546.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Stemphylium,s__Stemphylium_eturmiunum
MH857371.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Pyrenophora,s__Pyrenophora_trichostoma
MF795575.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Fomitopsidaceae,g__Fomitopsis,s__Fomitopsis_pinicola
AY854082.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meruliaceae,g__Climacodon,s__Climacodon_septentrionalis
MK442607.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Thyridariaceae,g__Pararoussoella,s__Pararoussoella_juglandicola
AY211019.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Peronospora,s__Peronospora_manshurica
JN164993.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Coriolopsis,s__Coriolopsis_trogii
DQ491421.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Fomitopsidaceae,g__Fomitopsis,s__Fomitopsis_meliae
HQ153409.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meruliaceae,g__Phlebia,s__Phlebia_aurea
HM131313.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__Puccinia_coronata
HQ643127.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Saprolegniales,f__Saprolegniaceae,g__Brevilegnia,s__Brevilegnia_gracilis
GU237761.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Neodidymelliopsis,s__Neodidymelliopsis_cannabis
MT040878.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Auriculariales,f__Exidiaceae,g__Basidiodendron,s__Basidiodendron_alni
MT279905.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meripilaceae,g__Physisporinus,s__Physisporinus_pouzarii
KC992898.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,s__Psathyrella_orbicularis
MW063162.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Periconiaceae,g__Periconia,s__Periconia_celtidis
MW649126.1,k__Eukaryota,p__Chytridiomycota,c__Opisthokonta,o__Synchytriales,f__Synchytriaceae,g__Synchytrium,s__Synchytrium_psophocarpi
MZ668718.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Trametes,s__Trametes_gibbosa
KR183856.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Ganoderma,s__Ganoderma_destructans
AY239209.1,k__Eukaryota,p__Ascomycota,c__Opisthokonta,o__Taphrinales,f__Taphrinaceae,g__Taphrina,s__Taphrina_inositophila
MH863084.1,k__Eukaryota,p__Chytridiomycota,c__Opisthokonta,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,s__Rhizophydium_globosum
DQ323697.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_infectoria
HM131235.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__Puccinia_coronati-brevispora
MW724098.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma_tephrensis
KT203298.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meripilaceae,g__Rigidoporus,s__Rigidoporus_macroporus
MT446068.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Psathyrellaceae,g__Coprinopsis,s__Coprinopsis_urticicola
MN200199.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Dothideales,f__Saccotheciaceae,g__Aureobasidium,s__Aureobasidium_pullulans
MZ637003.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Meruliaceae,g__Mycoacia,s__Mycoacia_fuscoatra
MZ171395.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Incrustoporiaceae,g__Tyromyces,s__Tyromyces_galactinus
KJ707062.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,s__Filobasidium_magnum
MH860044.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Botrytis,s__Botrytis_cinerea
KR673447.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Crepidotaceae,g__Crepidotus,s__Crepidotus_applanatus
ON024336.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Ganoderma,s__Ganoderma_lucidum
KC584209.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_panax
JN048778.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Perenniporia,s__Perenniporia_truncatospora
KF018120.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Perenniporia,s__Perenniporia_africana
AB871751.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Auriculariales,f__Aporpiaceae,g__Elmerina,s__Elmerina_caryae
